Total Time,Rating,Votes,Notes,Date Published,Steps,Ingredients,Serving Size
At least 3 hours,4,321,29,,2,9,4 to 8 servings
30 minutes,4,160,20,,2,5,6 servings
About 2 hours,4,356,22,,3,9,4 to 8 servings
30 minutes,4,256,31,,2,9,4 servings
1½ hours plus optional overnight marinating,4,78,8,,5,11,At least 6 servings
20 minutes,4,95,5,,2,8,4 servings
30 minutes,4,33,3,,2,6,4 servings
20 minutes,4,86,3,,1,2,1½ to 2 cups
About 1 hour,4,105,3,,3,11,4 servings
1 hour,4,966,139,,5,16,One 2-layer 8-inch cake
15 minutes,5,"8,668",669,,3,5,4 to 6 servings
55 minutes,4,134,28,"April 19, 2024",6,15,4 servings
20 minutes,3,34,6,"April 24, 2024",3,4,4 servings
20 minutes,4,437,34,,4,11,8 to 10 servings
"1½ hours, plus cooling",4,"7,950",982,,5,11,8 servings
45 minutes,4,"1,776",153,,7,9,4 servings
1 hour,4,488,65,,5,13,4 to 6 servings
"10 minutes (plus more for chilling, if you like).",5,385,31,,2,3,4 to 8 servings.
20 minutes,5,"6,080",535,,4,16,4 servings
35 minutes,4,"1,594",234,"Feb. 15, 2024",4,11,4 servings
30 minutes,4,940,120,,4,8,4 servings
20 minutes,5,"1,619",95,,3,6,4 servings
About 1 hour,4,"1,331",126,,6,16,4 servings
45 minutes,4,"5,739",421,,3,9,4 servings
1 hour,4,"7,809",935,,3,15,4 to 6 servings
About 4¼ hours,4,198,45,"April 2, 2024",7,20,6 servings
About 1 hour,4,47,4,"April 2, 2024",6,13,8 cups (4 to 6 servings)
20 minutes,4,476,34,"March 11, 2024",2,3,4 servings
About 2 hours,4,183,44,"March 12, 2024",8,16,8 servings
40 minutes,4,279,46,"Feb. 14, 2024",3,2,4 servings
1¼ hours,4,235,25,"March 6, 2024",5,12,4 servings
40 minutes,4,428,87,"Dec. 5, 2023",5,9,4 servings
45 minutes,4,132,28,"Oct. 12, 2023",4,7,4 servings
40 minutes,4,697,99,"Oct. 11, 2023",5,11,4 Servings
40 to 50 minutes,4,"1,556",243,"Oct. 26, 2023",5,12,4 to 6 servings
50 minutes,4,647,68,"Feb. 6, 2024",8,16,4 servings
1 hour,4,317,34,"Jan. 10, 2024",5,17,6 servings
"35 minutes, plus 12 hours’ refrigeration",5,"1,550",187,,4,4,About 30 cookies
10 minutes,4,722,107,,4,8,8 to 10 servings
35 minutes,4,177,58,"April 11, 2024",6,9,4 servings
"About 1½ hours, plus chilling",4,"2,047",195,,9,21,12 to 14 servings
